,Заглавие:,Автор: ,Категория:,Номер: ,Издадена:,Език:
1,Кратные интегралы и ряды,Б.М. Будак,"ДИС",,1967,ру
2,Дифференциальное и интегральное исчисления,Я.С.Бугров,"ДИС",,1980,ру
3,Курс дифференциального и интеграьного исчисления,Фихтенгоольд,"ДИС",,1962,ру
4,Дифференциальное и интегральное исчисления,Я.С.Бугров,ДИС,,1980,ру
5,Дифференциальное и интегральное исчисления в примерах и задачах,И.А.Марон,"ДИС",,1973,ру
6,Ръководство по математически анализ,Е.Любенова,"ДИС",,1998,бг
7,Елементы математического анализа,С.М.Никольский,"ДИС",,1981,ру
8,Ряды,А.И.Маркушевич,"ДИС",,1979,ру
9,Дифференциальное и интегральное исчисления,Я.С.Бугров,"ДИС",,1980,ру
,,,,,,
10,Анализ 2,Лоран Шварц,анализ,,1984,ру
11,Анализ 1,Лоран Шварц,анализ,,1972,ру
12,Математический анализ,В.Б.Уваров,анализ,,1984,ру
13,Курс математического анализа 2,М.К.Гребенча,анализ,,1961,ру
14,Елементы математического анализа 2,Г.П.Толстов,анализ,,1974,ру
15,Курс математического анализа 1,М.К.Гребенча,анализ,,1960,ру
16,Елементы математического анализа 1,Г.П.Толстов,анализ,,1974,ру
17,Руководство к решениею задач по математическому анализу,Г.И.Запорожец,анализ,,1966,ру
18,Математический анализ 1,Р.В.Гамкрелидзе,анализ,,1979,ру
19,Основы математического,У. Рудин,анализ,,1976,ру
20,Интерполяцив линейных оператов,"С.Г.Крейн, Ю.И.Петунин, Е.М.Семенов",МА,,1978,ру
21,Теоремы Замкнутости и теоремы композиции,С.Мандельбройт,МА,,1962,ру
22,Введение в спектральную теорию,"Б.М.Левитан, И.С.Саргсян",ЛАМА,,1970,ру
23,Спектральная теория линейных операторов,А.И.Плеснер,ЛАМА,,1965,ру
24,Интерполация и апроксимация рациональными функциями в комплексной области,Дж.Л.Уолш,МА,,1961,ру
25,Вариации множеств и функций,Л.Д.Иванов,МА,,1975,ру
26,Лекции о теоремах шоке,Р.Фелпс,МА,,1968,ру
,,,,,,
27,Комплексен анализ ръководство,Ваня Хаджийски,"КА",,2004,бг
28,Введение в комплексный анализ,Б.В.Шабат,КА,,1969,ру
29,Сборник от задачи по теория на аналитичните функции,Т. Аргирова,КА,,1992,бг
30,Теория на аналитичните функции,Т. Аргирова,КА,,2003,бг
31,Функции многих комплекцных переменных,М.Ерве,КА,,1965,ру
